UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
7	0
8	0
4	0
0	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
43	0
13	0
34	0
31	1
31	1
3	1
0	0
4	0
7	0
1	0
1	0
0	0
3	0
0	0
0	0
0	0
2	0
5	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
5	0
1	0
0	16
0	16
27	0
21	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
7	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
12	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
40	1
0	0
0	0
0	0
10	0
7	0
18	0
12	0
0	0
0	0
1	0
12	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
3	0
3	0
467	0
347	0
2	0
0	0
0	0
0	2
0	1
0	1
3	0
1	0
3	0
0	0
2	0
0	2
1	0
0	0
7	0
0	0
0	0
0	0
4	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
51	0
54	0
68	0
0	0
0	0
1	0
0	0
0	0
0	0
32	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
12	0
0	0
0	0
51	0
37	0
6	0
0	0
5	0
42	0
46	0
23	0
40	0
0	0
0	0
0	0
5	0
0	0
1	0
1	0
13	0
15	0
349	0
0	0
3	0
5	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
6	0
4	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
38	0
0	0
11	0
31	0
40	0
1	0
0	0
2	0
2	0
0	0
1	0
0	0
0	0
13	0
0	0
16	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
